59 1629117406.237695787 0 systemd-journal (377) > read cwd=/ fd=17(<t>) size=8  latency=0 exepath=/usr/lib/systemd/systemd-journald cmd= /lib/systemd/systemd-journald 
272 1629117406.424487274 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
273 1629117406.424512669 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
279 1629117406.424840573 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=22(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
280 1629117406.424962819 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=22(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
286 1629117406.425013289 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
296 1629117406.426664697 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=8(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
297 1629117406.426781868 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=8(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
303 1629117406.426849130 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
310 1629117406.427247152 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=8(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
312 1629117406.428015833 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=8(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
318 1629117406.428113219 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
739 1629117406.430091164 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=8(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
740 1629117406.430269167 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=8(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
745 1629117406.430331799 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
746 1629117406.430435964 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
747 1629117406.430448205 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
748 1629117406.430496271 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
749 1629117406.430501520 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
753 1629117406.430524971 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
755 1629117406.430529449 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
757 1629117406.430535460 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=22(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
758 1629117406.430559764 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
759 1629117406.430568349 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
760 1629117406.430620161 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
761 1629117406.430626482 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
762 1629117406.430684361 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=22(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
764 1629117406.430708872 0 Xorg (1728) > recvmsg cwd=/home/victim/ fd=22(<u>@/tmp/.X11-unix/X0)  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
768 1629117406.430747433 3 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
770 1629117406.430766256 3 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
771 1629117406.430820671 3 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
773 1629117406.430831630 3 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
777 1629117406.430884825 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
778 1629117406.430888722 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
779 1629117406.430899521 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
780 1629117406.430902136 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
845 1629117406.454644970 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
846 1629117406.454664304 3 gmain (2164) > read cwd=/home/victim/ fd=11(<i>) size=4096  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
847 1629117406.454703444 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
848 1629117406.454722848 3 gmain (2164) > read cwd=/home/victim/ fd=7(<e>) size=16  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
857 1629117406.458500420 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
858 1629117406.458525905 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
898 1629117406.487766366 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
